userId,model,k,precision,recall,hit_rate,f1,train_ratings,test_relevant_movies,recommendation_count
139142,Hybrid,5,0.0,0.0,0.0,0.0,177,20,0
139142,Hybrid,10,0.0,0.0,0.0,0.0,177,20,0
139142,Hybrid,20,0.0,0.0,0.0,0.0,177,20,0
152507,Hybrid,5,0.0,0.0,0.0,0.0,648,22,0
152507,Hybrid,10,0.0,0.0,0.0,0.0,648,22,0
152507,Hybrid,20,0.0,0.0,0.0,0.0,648,22,0
199287,Hybrid,5,0.0,0.0,0.0,0.0,44,5,0
199287,Hybrid,10,0.0,0.0,0.0,0.0,44,5,0
199287,Hybrid,20,0.0,0.0,0.0,0.0,44,5,0
99938,Hybrid,5,0.0,0.0,0.0,0.0,329,50,0
99938,Hybrid,10,0.0,0.0,0.0,0.0,329,50,0
99938,Hybrid,20,0.0,0.0,0.0,0.0,329,50,0
127225,Hybrid,5,0.0,0.0,0.0,0.0,153,5,0
127225,Hybrid,10,0.0,0.0,0.0,0.0,153,5,0
127225,Hybrid,20,0.0,0.0,0.0,0.0,153,5,0
163471,Hybrid,5,0.0,0.0,0.0,0.0,31,6,0
163471,Hybrid,10,0.0,0.0,0.0,0.0,31,6,0
163471,Hybrid,20,0.0,0.0,0.0,0.0,31,6,0
44267,Hybrid,5,0.0,0.0,0.0,0.0,56,5,0
44267,Hybrid,10,0.0,0.0,0.0,0.0,56,5,0
44267,Hybrid,20,0.0,0.0,0.0,0.0,56,5,0
75454,Hybrid,5,0.0,0.0,0.0,0.0,46,9,0
75454,Hybrid,10,0.0,0.0,0.0,0.0,46,9,0
75454,Hybrid,20,0.0,0.0,0.0,0.0,46,9,0
37292,Hybrid,5,0.0,0.0,0.0,0.0,249,14,0
37292,Hybrid,10,0.0,0.0,0.0,0.0,249,14,0
37292,Hybrid,20,0.0,0.0,0.0,0.0,249,14,0
148868,Hybrid,5,0.0,0.0,0.0,0.0,39,9,0
148868,Hybrid,10,0.0,0.0,0.0,0.0,39,9,0
148868,Hybrid,20,0.0,0.0,0.0,0.0,39,9,0
169206,Hybrid,5,0.0,0.0,0.0,0.0,50,8,0
169206,Hybrid,10,0.0,0.0,0.0,0.0,50,8,0
169206,Hybrid,20,0.0,0.0,0.0,0.0,50,8,0
59404,Hybrid,5,0.0,0.0,0.0,0.0,49,10,0
59404,Hybrid,10,0.0,0.0,0.0,0.0,49,10,0
59404,Hybrid,20,0.0,0.0,0.0,0.0,49,10,0
183472,Hybrid,5,0.0,0.0,0.0,0.0,26,7,0
183472,Hybrid,10,0.0,0.0,0.0,0.0,26,7,0
183472,Hybrid,20,0.0,0.0,0.0,0.0,26,7,0
170246,Hybrid,5,0.0,0.0,0.0,0.0,22,4,0
170246,Hybrid,10,0.0,0.0,0.0,0.0,22,4,0
170246,Hybrid,20,0.0,0.0,0.0,0.0,22,4,0
145918,Hybrid,5,0.0,0.0,0.0,0.0,339,21,0
145918,Hybrid,10,0.0,0.0,0.0,0.0,339,21,0
145918,Hybrid,20,0.0,0.0,0.0,0.0,339,21,0
44889,Hybrid,5,0.0,0.0,0.0,0.0,134,26,0
44889,Hybrid,10,0.0,0.0,0.0,0.0,134,26,0
44889,Hybrid,20,0.0,0.0,0.0,0.0,134,26,0
48381,Hybrid,5,0.0,0.0,0.0,0.0,20,2,0
48381,Hybrid,10,0.0,0.0,0.0,0.0,20,2,0
48381,Hybrid,20,0.0,0.0,0.0,0.0,20,2,0
196648,Hybrid,5,0.0,0.0,0.0,0.0,104,12,0
196648,Hybrid,10,0.0,0.0,0.0,0.0,104,12,0
196648,Hybrid,20,0.0,0.0,0.0,0.0,104,12,0
111647,Hybrid,5,0.0,0.0,0.0,0.0,32,4,0
111647,Hybrid,10,0.0,0.0,0.0,0.0,32,4,0
111647,Hybrid,20,0.0,0.0,0.0,0.0,32,4,0
71397,Hybrid,5,0.0,0.0,0.0,0.0,447,44,0
71397,Hybrid,10,0.0,0.0,0.0,0.0,447,44,0
71397,Hybrid,20,0.0,0.0,0.0,0.0,447,44,0
16940,Hybrid,5,0.0,0.0,0.0,0.0,97,1,0
16940,Hybrid,10,0.0,0.0,0.0,0.0,97,1,0
16940,Hybrid,20,0.0,0.0,0.0,0.0,97,1,0
125813,Hybrid,5,0.0,0.0,0.0,0.0,73,8,0
125813,Hybrid,10,0.0,0.0,0.0,0.0,73,8,0
125813,Hybrid,20,0.0,0.0,0.0,0.0,73,8,0
163169,Hybrid,5,0.0,0.0,0.0,0.0,26,5,0
163169,Hybrid,10,0.0,0.0,0.0,0.0,26,5,0
163169,Hybrid,20,0.0,0.0,0.0,0.0,26,5,0
182525,Hybrid,5,0.0,0.0,0.0,0.0,71,10,0
182525,Hybrid,10,0.0,0.0,0.0,0.0,71,10,0
182525,Hybrid,20,0.0,0.0,0.0,0.0,71,10,0
16860,Hybrid,5,0.0,0.0,0.0,0.0,89,14,0
16860,Hybrid,10,0.0,0.0,0.0,0.0,89,14,0
16860,Hybrid,20,0.0,0.0,0.0,0.0,89,14,0
70506,Hybrid,5,0.0,0.0,0.0,0.0,185,19,0
70506,Hybrid,10,0.0,0.0,0.0,0.0,185,19,0
70506,Hybrid,20,0.0,0.0,0.0,0.0,185,19,0
112549,Hybrid,5,0.0,0.0,0.0,0.0,93,14,0
112549,Hybrid,10,0.0,0.0,0.0,0.0,93,14,0
112549,Hybrid,20,0.0,0.0,0.0,0.0,93,14,0
134628,Hybrid,5,0.0,0.0,0.0,0.0,42,4,0
134628,Hybrid,10,0.0,0.0,0.0,0.0,42,4,0
134628,Hybrid,20,0.0,0.0,0.0,0.0,42,4,0
124271,Hybrid,5,0.0,0.0,0.0,0.0,44,3,0
124271,Hybrid,10,0.0,0.0,0.0,0.0,44,3,0
124271,Hybrid,20,0.0,0.0,0.0,0.0,44,3,0
162041,Hybrid,5,0.0,0.0,0.0,0.0,19,1,0
162041,Hybrid,10,0.0,0.0,0.0,0.0,19,1,0
162041,Hybrid,20,0.0,0.0,0.0,0.0,19,1,0
70398,Hybrid,5,0.0,0.0,0.0,0.0,18,3,0
70398,Hybrid,10,0.0,0.0,0.0,0.0,18,3,0
70398,Hybrid,20,0.0,0.0,0.0,0.0,18,3,0
139171,Hybrid,5,0.0,0.0,0.0,0.0,30,6,0
139171,Hybrid,10,0.0,0.0,0.0,0.0,30,6,0
139171,Hybrid,20,0.0,0.0,0.0,0.0,30,6,0
1977,Hybrid,5,0.0,0.0,0.0,0.0,37,8,0
1977,Hybrid,10,0.0,0.0,0.0,0.0,37,8,0
1977,Hybrid,20,0.0,0.0,0.0,0.0,37,8,0
